1,10,8,10,10,12,10,10,2,30,1,4.748002e-01,
2,10,8,10,10,12,10,10,2,30,2,4.748002e-01,
3,10,8,10,10,12,10,10,2,30,3,4.748002e-01,
4,11,8,10,10,12,10,10,2,30,1,5.222802e-01,
5,11,8,10,10,12,10,10,2,30,2,5.222802e-01,
6,11,8,10,10,12,10,10,2,30,3,5.222802e-01,
7,10,8,10,10,12,10,10,30,30,1,7.895136e-03,
8,10,8,10,10,12,10,10,30,30,2,7.895136e-03,
9,10,8,10,10,12,10,10,30,30,3,7.895136e-03,
10,11,8,10,10,12,10,10,30,30,1,8.684649e-03,
11,11,8,10,10,12,10,10,30,30,2,8.684649e-03,
12,11,8,10,10,12,10,10,30,30,3,8.684649e-03,
